区域,卧室数,客厅数,房屋面积,楼层高低,是否是地铁房,是否是学区房
丰台,3,1,91,中,1,0
朝阳,2,2,94.4,低,1,1
朝阳,2,2,88.9,高,1,0
海淀,3,1,85.2,中,1,0
海淀,3,2,174.3,中,1,0
朝阳,3,2,127.3,中,1,1
西城,2,2,101.4,低,1,0
东城,3,1,89.9,中,1,0
朝阳,4,2,174.8,高,1,0
石景山,2,1,59.7,中,1,0
丰台,2,1,90.9,中,1,0
西城,2,1,59.8,低,1,1
丰台,2,1,113.4,高,0,0
东城,2,2,102.1,中,1,1
石景山,2,1,84.4,中,1,0
朝阳,3,2,93.1,低,1,1
石景山,2,1,86.2,中,0,0
东城,3,2,266.6,中,1,0
海淀,3,1,167.9,低,1,0
石景山,1,1,44,高,0,0
西城,1,0,54.2,高,1,0
石景山,2,1,88.3,高,1,0
石景山,2,1,61.7,高,1,0
石景山,2,1,83.6,高,1,0
朝阳,3,2,136.3,高,1,0
东城,3,1,83.5,低,1,0
海淀,1,0,39.9,高,1,0
东城,2,1,72.4,低,1,0
西城,2,1,64.3,低,0,1
朝阳,1,1,71,中,0,0
西城,3,1,84.3,低,1,1
东城,2,1,57.7,高,1,0
海淀,3,2,140.2,高,1,0
东城,3,2,231.9,中,1,1
石景山,1,1,64.7,中,1,0
东城,3,1,67.2,高,1,0
东城,5,2,161.4,高,1,1
东城,1,1,48.1,高,1,1
朝阳,2,1,68.7,低,1,1
东城,2,2,143.9,低,1,1
东城,2,1,81.7,中,1,1
石景山,2,1,43.7,高,1,0
石景山,4,2,159.7,低,1,0
朝阳,3,2,145.8,中,1,0
朝阳,3,2,160,中,0,0
东城,3,1,88.8,高,0,0
东城,2,1,76.3,低,1,0
丰台,3,1,65.9,低,1,0
朝阳,2,2,119.2,高,1,0
朝阳,2,1,51.7,高,1,1
朝阳,2,2,120.1,中,1,0
东城,2,1,78.4,低,1,0
西城,2,1,58.1,低,1,1
丰台,2,1,88.5,高,0,0
石景山,2,1,61.4,中,0,0
丰台,2,2,92.4,中,0,0
西城,4,2,253,中,1,1
西城,2,1,97.8,中,1,0
丰台,2,2,76.7,高,1,0
朝阳,2,1,80.2,中,0,0
西城,2,1,56.2,低,1,0
丰台,1,1,47.9,低,1,0
海淀,3,1,144.9,高,1,1
西城,3,1,67.1,中,1,0
西城,3,1,91.7,中,1,1
石景山,3,2,69.3,低,1,0
西城,4,1,178.7,中,1,1
丰台,3,1,116.4,低,1,0
朝阳,2,1,101.2,高,1,0
东城,2,1,75.6,低,1,0
朝阳,2,1,105,中,1,0
西城,2,1,92.3,低,1,0
西城,2,1,52.6,中,1,1
丰台,2,1,59.8,中,1,0
丰台,2,1,93,低,0,0
朝阳,3,2,119.3,高,1,1
西城,2,1,61.4,高,1,1
朝阳,2,2,96.9,中,1,0
西城,3,2,145,中,1,1
海淀,2,2,104.6,低,1,1
海淀,2,1,93.9,高,1,1
丰台,1,1,51.3,高,1,0
西城,2,1,82,高,1,0
海淀,2,1,105.1,中,1,1
朝阳,2,2,104.4,高,1,0
朝阳,2,1,57.7,高,1,0
石景山,1,1,60.5,低,1,0
朝阳,3,2,184,高,1,0
丰台,2,1,95.2,中,0,0
海淀,1,0,38.6,中,1,1
西城,1,1,30.4,高,1,0
丰台,4,2,143.4,高,0,0
东城,2,1,75.3,低,1,0
西城,1,0,55,高,0,0
丰台,1,0,49,高,1,0
海淀,2,1,70.1,高,1,0
海淀,2,1,62,中,1,1
朝阳,2,1,76.9,高,1,1
西城,2,1,50.4,低,1,1
丰台,3,1,74.6,高,1,0
海淀,2,1,54.1,高,0,0
丰台,2,1,87.1,低,1,0
海淀,2,1,88.8,中,1,0
西城,1,0,41.2,高,0,0
海淀,2,1,51.6,高,1,0
石景山,2,1,58,高,1,0
朝阳,3,2,203.4,低,1,0
朝阳,3,2,186.5,中,0,0
石景山,2,1,108.4,低,0,0
石景山,2,1,64.1,中,1,0
丰台,2,1,61.9,高,1,0
